,Flux
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.03960243973948387
416,0.10914811533536987
417,0.1706664483911556
418,0.21996575499832915
419,0.25368623318896094
420,0.2695290165624139
421,0.26641296895538596
422,0.24454850916068768
423,0.20542341381065185
424,0.15170156362064072
425,0.0870415256561487
426,0.015847350541833945
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.03936801856279385
440,0.10903763243956807
441,0.17069314288172155
442,0.22013343420710987
443,0.2539890173046155
444,0.2699517496170475
445,0.2669322674954517
446,0.24513437605923596
447,0.20604130575870314
448,0.15231476968857588
449,0.08761369301579891
450,0.016344983449682
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.03915159211368718
464,0.10894590279028551
465,0.17073824569109158
466,0.22031809685059164
467,0.2543063779290989
468,0.27038583579955044
469,0.267459101196665
470,0.24572362843282103
471,0.2066583875236472
472,0.15292321288071983
473,0.08817765998601658
474,0.01683173037704819
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.03895330658443185
488,0.1088729342442246
489,0.1708016238755783
490,0.22051947650115591
491,0.2546379317089622
492,0.27083079947804584
493,0.267992933157972
494,0.24631570331322197
495,0.20727410701557628
496,0.1535263881117135
497,0.08873300128752382
498,0.017307273051092396
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0387732748396666
512,0.10881870262758024
513,0.17088311589831498
514,0.2207372834478938
515,0.2549832788161449
516,0.2712861563641575
517,0.26853322609799657
518,0.24691004552206405
519,0.20788792745219148
520,0.15412381195423458
521,0.08927931807349052
522,0.017771322531736054
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0386115818201084
536,0.1087831569574216
537,0.17098253630862453
538,0.22097120851914331
539,0.25534200564334436
540,0.2717514148977274
541,0.2690794423483101
542,0.2475061062821107
543,0.2084993246746767
544,0.15471501887801586
545,0.08981623336134392
546,0.018223614171596732
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.038468289598512305
560,0.10876622419945028
561,0.17109967987738162
562,0.22122092631776083
